Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2021-01-04,85.76871490478516,87.3771498815484,84.75680376894405,87.22280518754182,38038000
2021-01-05,86.39799499511719,86.73298403471841,85.2612722351077,85.60792307639045,22906000
2021-01-06,86.11859893798828,86.74936612076766,84.31760021238799,84.49775233587917,52042000
2021-01-07,88.69725036621094,88.75431746516027,86.20593375919945,86.35531082845031,45300000
2021-01-08,89.68782806396484,89.81834938402105,88.01661599818148,88.7334912479935,41012000
2021-01-11,87.67839813232422,89.0478799376341,87.37070829111397,88.6386945524747,24194000
2021-01-12,86.67740631103516,88.2401862729812,85.62331568317703,87.04316284004813,27140000
2021-01-13,87.06697845458984,87.5947658360437,86.25357538427859,86.28186661140617,21882000
2021-01-14,86.36128234863281,88.08981896396133,86.02480148030823,87.0282768771927,23590000
2021-01-15,86.16326904296875,87.14639689560761,85.43671600067835,86.2625231023288,26844000
2021-01-19,88.87642669677734,89.79032593794474,86.42481256470239,86.96030140705986,34692000
2021-01-20,93.64266967773438,94.47691263088274,90.59700818016246,90.89130209923191,49806000
2021-01-21,93.85855102539062,96.02281503420217,93.653091262733,94.19354009809759,41278000
2021-01-22,94.34490203857422,94.83621985435681,93.38758160649981,94.07839955108425,25442000
2021-01-25,94.26301574707031,95.76077738666194,92.68138000088868,95.31859818550598,38546000
2021-01-26,95.14836120605469,95.53347325040129,93.51089290297679,93.73893411942035,26262000
2021-01-27,90.8580322265625,93.79649540996135,89.77664257763828,93.42577889656118,54966000
2021-01-28,92.46202850341797,94.23472857138471,91.44614915786501,91.5106601315722,35462000
2021-01-29,91.10370635986328,92.1726846562811,89.8362123934404,91.62132375858636,32252000
2021-02-01,94.35977935791016,95.40404826003692,91.8575504990364,91.98856402523053,32044000
2021-02-02,95.65805053710938,97.06003387787534,95.01189583982314,95.41238786442676,45474000
2021-02-03,102.73300170898438,105.03721510477601,100.16773807905832,102.87841077102857,82364000
2021-02-04,102.35084533691406,103.1538209466893,101.36920941459294,102.67442246381972,37046000
2021-02-05,104.11908721923828,104.34291051322235,102.19997872555514,102.72950782114751,30702000
2021-02-08,103.86648559570312,105.3869347160513,102.82876693597579,104.51164830223856,24838000
2021-02-09,103.39998626708984,104.47294026106866,103.153339141781,103.153339141781,17798000
2021-02-10,103.98906707763672,104.6337375889511,102.3865915073248,103.93100795991074,22710000
2021-02-11,104.01438903808594,104.31910287531603,103.09279608834218,104.19404139213168,18914000
2021-02-12,104.42231750488281,104.65606849407718,103.38113056344541,103.7344756103159,17114000
2021-02-16,105.30518341064453,106.83272787230571,104.43471327447581,104.43471327447581,22676000
2021-02-17,105.6233139038086,105.88882438596596,104.16475552241761,104.21835438137346,21418000
2021-02-18,105.07194519042969,105.84291148429223,104.40246686700567,104.7339801015869,22432000
2021-02-19,104.2749252319336,105.73348355681483,104.0898130453819,105.17467874674287,29148000
2021-02-22,102.47542572021484,103.79254303721723,102.33944455710851,102.58063184033716,27350000
2021-02-23,102.7721939086914,103.32554643644939,99.3558158634762,100.49676421173395,33348000
2021-02-24,103.9786376953125,104.25705185046773,101.14787165501271,101.33149202258612,24966000
2021-02-25,100.8118896484375,103.96424877038558,100.31213601750446,102.60295304770493,36568000
2021-02-26,101.08484649658203,102.77963192245342,100.05258772073852,101.76276066693059,41670000
2021-03-01,103.30072784423828,103.54935898000207,101.54340785341348,102.06052547894382,28090000
2021-03-02,103.01933288574219,104.43521190472185,102.79204134384504,103.03670442654219,22692000
2021-03-03,100.58112335205078,103.6485179525727,99.7518405206589,102.59104243879125,29684000
2021-03-04,101.6917953491211,103.68435059593537,100.2615207203599,100.41537321345079,42360000
2021-03-05,104.64216613769531,105.11710437828245,101.55903561555868,102.88434639138246,43904000
2021-03-08,100.455078125,105.64812426106462,100.32802505738692,104.27443206746486,32948000
2021-03-09,101.8709487915039,103.1285150733427,101.62926173890396,102.72950728763824,33946000
2021-03-10,101.98658752441406,102.97765139857192,100.91164954542201,102.81685483464553,25372000
2021-03-11,104.95135498046875,105.49378782988636,102.84763392955281,102.93100824614882,24782000
2021-03-12,102.32852172851562,103.73497295463616,101.61537222456147,103.47393032442318,34516000
2021-03-15,102.55531311035156,102.58359676514988,101.41486465521487,102.34736955994683,25962000
2021-03-16,103.84712219238281,105.38757043005971,102.72950512628432,103.17565990064335,29832000
2021-03-17,103.77566528320312,104.70370240170875,101.93546321311196,103.02876472611351,25980000
2021-03-18,101.05308532714844,103.0024692034399,100.92057998943062,102.28286783600868,27228000
2021-03-19,101.39949035644531,101.89080056408538,100.13298835879755,101.34241567958058,46298000
2021-03-22,101.17070007324219,102.13348028588815,100.54936076831994,101.33199642788556,39096000
2021-03-23,101.88385009765625,102.84374508381856,101.20196033977746,101.82131558100869,27340000
2021-03-24,101.4917984008789,103.13696071838505,101.31785579766643,102.49974164241104,23080000
2021-03-25,101.4570541381836,102.17714767750128,99.78806856759364,101.47938573124554,28378000
2021-03-26,101.01982879638672,101.78608490659278,99.95134270224546,101.1841011784745,29870000
2021-03-29,102.03224182128906,102.15531926926886,100.03075095540598,100.63918654962447,24596000
2021-03-30,102.01189422607422,102.768222674311,101.4406779549868,102.11561611154833,20732000
2021-03-31,102.6615219116211,103.88717728039907,102.07169220908598,102.18955970581162,29198000
2021-04-01,106.091796875,106.34937126450968,104.06400625869783,104.11661310540576,33980000
2021-04-05,110.44910430908203,111.03273204152705,106.78012736880954,106.845637917698,43298000
2021-04-06,110.40940856933594,111.05010340239878,109.91560700008995,110.29774303328874,27060000
